114.74,6.9456,51.478,115.52,-43.799
108.95,11.217,45.232,125.45,-30.314
109.31,16.42,31.688,128.73,-3.3964
102.1,19.541,17.862,125.79,28.892
103.37,25.485,0.037178,110.77,60.435
106.84,30.325,-14.378,87.895,86.021
110.26,38.487,-31.382,64.977,101.79
111.38,37.312,-44.747,40.087,106.29
119.18,42.227,-52.077,19.046,104.44
124.68,42.932,-53.302,11.121,103.72
123.43,47.078,-51.627,20.218,100.47
129.55,48.304,-45.539,29.632,93.536
127.92,59.623,-31.808,48.569,81.417
132.25,59.409,-17.211,71.274,63.415
129.49,67.926,0.38478,84.021,36.561
135.33,68.895,16.52,96.229,9.18
128.6,75.877,31.327,96.508,-15.721
126.23,76.435,43.548,90.711,-43.102
124.5,79.625,51.248,84.509,-58.522
119.42,84.123,54.794,84.051,-67.148
111.52,89.331,49.101,91.495,-66.282
108.84,92.958,44.406,104.81,-58.672
107.69,95.16,32.464,109.79,-37.465
102.73,98.075,17.675,117.2,-16.217
108,104.46,-0.087311,121.15,18.299
106.34,108.27,-17.988,111.12,45.684
110.2,114.24,-31.543,91.417,71.341
117.35,120.33,-44.598,77.899,87.333
117.39,120.06,-50.301,63.951,89.826
120.51,123.23,-52.796,56.97,92.258
123.8,121.28,-51.83,57.301,86.053
128.89,129.84,-41.308,66.329,67.742
131.42,131.42,-32.222,78.582,52.161
133.44,140.03,-15.813,91.65,24.98
132.34,143.02,-0.11358,91.719,-1.1328
132.13,149,16.864,86.623,-33.167
127.97,149.93,32.276,80.713,-57.489
125.77,154.52,41.996,66.573,-76.47
122.27,161.18,49.723,56.174,-87.273
115.15,162.61,54.171,53.405,-91.635
